ID,NAME,CLIENT
606dc591091d0775b50c07c4,210 WBX,ATT Mexico
61ae6e06533c607f47331c9f,210 WBX Perú,Telefonica LATAM
608ad74436345435a4a2a0a1,Administrative,Nokia - Internal
60744aa15c4d69697d640da6,API Scripting,Orocom Perú
609d831d80917a5470fbcd6f,Co-Ops Lab Building,Nokia - Internal
60ad240172b1b72df48bcbdf,Co-Ops Program,Nokia - Internal
61a63d0322aa1e29611aeba2,Engagement Manager,Nokia - Internal
60ad4f4772b1b72df48e3b0d,EVE-NG,Nokia - Internal
60900d70c8a57953763f6d71,Health Check,Nokia - Internal
6082d714d2fe105c8dcef79c,Holiday,Nokia - Internal
608ad7167405356061495fb0,Internal Meetings,Nokia - Internal
6070841af455dc1737d354b7,Kanata Lab,Nokia - Internal
60bfb66d1007695d25ce76ee,Magenta Monitoring POC,T-Mobile
610c0a56545f043258408d8b,MiniEPC - Arauca,AMX Colombia
6081bf3d33c9f53b5dc380c6,Monitoring,AMX Colombia
609d831380917a5470fbc578,Monitoring Project,Nokia - Internal
609d831d80917a5470fbcdc5,NNCS Program,Charter
6082d758d2fe105c8dcefa86,Nokia EDU - Course,Nokia - Internal
609d831280917a5470fbc46a,Nuage Health,Nokia - Internal
609d831580917a5470fbc730,Paid Time Off,Nokia - Internal
607de55077926d7825d594f3,PTO,Nokia - Internal
60ad294f72b1b72df48c1ead,Quoting Tool,Nokia - Internal
60ad4a94215fef1f3a413e2e,Resource Allocation Dashboard,Nokia - Internal
606cf7c14f36e30ccaeeb2b5,SD-WAN,Orocom Perú
606cf7f9dda0d336c60253f3,SD-WAN,Telefonica LATAM
606dc4d3c097445a7cc68f64,SD-WAN,AMX Colombia
60900c7a2b299c6bb6f9b60f,SD-WAN,YOFC Perú
609010572b299c6bb6f9f949,SD-WAN,GILAT Perú
60d0ebbe1761767d7ab7ca24,SD-WAN,AMX Argentina
606db0bc4af7115373cd918d,SD-WAN and SDN,Multiva Mexico
609005092b299c6bb6f93589,SDN,Tivit
609d831480917a5470fbc612,SDN,Verizon
609d831280917a5470fbc4c0,SDN CATS,Verizon
60708fc0fd1fb82c66ce8a09,SR Linux,Nokia - Internal
6165961fdba08a5e150b17bc,SR Linux POC,ATT Mexico
60aea42c72b1b72df49808d9,SuperCore,Verizon
606cf7af4f36e30ccaeeb252,Telco Cloud,AMX Colombia
60744bc8c416cc092ccd3cf0,Telco Cloud,AMX Argentina
609d831080917a5470fbc2d6,Telco Cloud Colombia,AMX Colombia
606df1a8cff84c0ddd33909c,Training,Nokia - Internal
60ad497c0ecd812af6d154cd,Turnkey Upgrade,Telus
60b7fda3223953517d95805d,University Course Initiative,Nokia - Internal
60705db5c38bd515ecf10785,VNS Workshop,Telefonica LATAM
61e6f9097c5e88316ebab860,White Label,Nokia - Internal
61294a29fd8ed634e0e5a490,Whitelabel SD-WAN,Telecom Argentina
